InvoiceNo,ShipmentProvider,WarehouseLocation,OrderPriority,ReturnStatus,PaymentMethod
374329,Royal Mail,Rome,High,Not Returned,Credit Card
819064,Royal Mail,Amsterdam,Low,Not Returned,Bank Transfer
842139,UPS,Rome,High,Returned,paypall
532315,FedEx,Amsterdam,Medium,Not Returned,Bank Transfer
616588,FedEx,Paris,High,Not Returned,Bank Transfer
336584,UPS,London,Low,Not Returned,paypall
662332,FedEx,Berlin,Medium,Not Returned,Bank Transfer
937646,DHL,Rome,Low,Not Returned,Bank Transfer
476896,UPS,London,Medium,Not Returned,paypall
148984,UPS,London,High,Not Returned,Bank Transfer
402918,UPS,London,High,Returned,paypall
364712,DHL,Rome,Low,Not Returned,Bank Transfer
220151,Royal Mail,Paris,High,Not Returned,paypall
555808,DHL,Amsterdam,Low,Not Returned,Credit Card
233767,FedEx,Amsterdam,Low,Not Returned,Credit Card
748663,FedEx,Berlin,Medium,Not Returned,Bank Transfer
803550,Royal Mail,Berlin,High,Not Returned,Bank Transfer
236330,FedEx,Rome,High,Not Returned,Bank Transfer
580754,DHL,London,Medium,Not Returned,Credit Card
401648,Royal Mail,London,Medium,Not Returned,paypall
788519,Royal Mail,Rome,Low,Not Returned,paypall
113986,DHL,Rome,Medium,Not Returned,Bank Transfer
686146,Royal Mail,Rome,Low,Not Returned,Bank Transfer
229312,UPS,London,Low,Not Returned,Bank Transfer
112666,FedEx,Rome,High,Not Returned,paypall
400804,UPS,Berlin,Low,Not Returned,paypall
234633,FedEx,Paris,High,Not Returned,Bank Transfer
388998,UPS,Berlin,Medium,Not Returned,paypall
950937,Royal Mail,London,Low,Not Returned,Bank Transfer
728776,DHL,Rome,Medium,Not Returned,Bank Transfer
807611,FedEx,Paris,High,Not Returned,paypall
384806,DHL,Amsterdam,High,Not Returned,paypall
894824,DHL,London,High,Not Returned,paypall
130535,UPS,Rome,High,Not Returned,paypall
475713,DHL,Paris,Medium,Not Returned,Credit Card
938688,UPS,Paris,Medium,Not Returned,Credit Card
451279,DHL,Amsterdam,Medium,Not Returned,Credit Card
921654,FedEx,Rome,High,Not Returned,Credit Card
701661,DHL,London,Medium,Not Returned,Credit Card
747972,Royal Mail,Amsterdam,Low,Not Returned,paypall
589570,DHL,Paris,Medium,Not Returned,Credit Card
556551,DHL,Berlin,Medium,Not Returned,Credit Card
373109,UPS,Amsterdam,Medium,Not Returned,Credit Card
124538,UPS,Rome,Low,Not Returned,Bank Transfer
994498,Royal Mail,Berlin,Low,Returned,Credit Card
301664,FedEx,Berlin,Medium,Not Returned,Credit Card
591234,UPS,Berlin,High,Not Returned,Credit Card
999684,Royal Mail,Berlin,High,Not Returned,Bank Transfer
239182,Royal Mail,Paris,Medium,Not Returned,paypall
572525,DHL,Amsterdam,Low,Not Returned,Credit Card
258338,UPS,Amsterdam,Medium,Not Returned,Bank Transfer
284064,UPS,Berlin,Low,Not Returned,Bank Transfer
314020,DHL,London,Medium,Not Returned,paypall
723094,Royal Mail,Rome,Low,Not Returned,paypall
997421,Royal Mail,Paris,High,Not Returned,paypall
715270,UPS,Paris,Medium,Not Returned,Bank Transfer
745914,DHL,Berlin,Medium,Returned,Credit Card
219176,FedEx,Rome,Medium,Not Returned,Credit Card
318126,FedEx,Berlin,High,Not Returned,Bank Transfer
318969,UPS,Amsterdam,High,Not Returned,Credit Card
222409,Royal Mail,Amsterdam,Medium,Not Returned,Credit Card
647707,Royal Mail,Paris,High,Not Returned,paypall
353618,Royal Mail,Rome,Medium,Not Returned,Credit Card
869598,UPS,Berlin,Medium,Not Returned,Bank Transfer
150015,DHL,London,Low,Not Returned,Credit Card
872838,FedEx,Paris,Medium,Not Returned,Credit Card
222096,DHL,Rome,Medium,Not Returned,paypall
731347,DHL,Paris,Medium,Not Returned,paypall
285340,UPS,Amsterdam,Low,Not Returned,Credit Card
210687,UPS,Rome,High,Not Returned,Credit Card
974371,Royal Mail,Paris,Medium,Not Returned,Credit Card
511357,FedEx,Berlin,Low,Not Returned,Credit Card
835716,UPS,Berlin,Low,Not Returned,paypall
205878,FedEx,Rome,Low,Returned,Bank Transfer
827270,DHL,London,High,Not Returned,Credit Card
298286,Royal Mail,Paris,Medium,Not Returned,paypall
873290,FedEx,Amsterdam,Medium,Not Returned,Credit Card
874684,Royal Mail,Paris,High,Not Returned,Credit Card
264899,UPS,Paris,Low,Not Returned,Bank Transfer
424767,UPS,Rome,Medium,Not Returned,paypall
961882,UPS,Paris,Low,Not Returned,Bank Transfer
979858,Royal Mail,Berlin,Low,Not Returned,Credit Card
479989,Royal Mail,Berlin,Medium,Not Returned,Bank Transfer
515515,FedEx,Rome,High,Returned,paypall
143585,UPS,Amsterdam,Medium,Not Returned,Bank Transfer
471369,Royal Mail,Berlin,High,Not Returned,Credit Card
164044,Royal Mail,Amsterdam,High,Not Returned,paypall
542296,UPS,Berlin,Medium,Returned,Bank Transfer
209556,Royal Mail,London,High,Not Returned,Bank Transfer
626981,DHL,Rome,Low,Not Returned,Bank Transfer
981691,UPS,Amsterdam,High,Not Returned,Credit Card
867595,FedEx,Amsterdam,Low,Not Returned,Bank Transfer
300235,DHL,Paris,Medium,Not Returned,Bank Transfer
125939,FedEx,Berlin,Low,Not Returned,Bank Transfer
252906,Royal Mail,Rome,Low,Not Returned,Credit Card
642335,UPS,Berlin,Medium,Not Returned,Bank Transfer
388249,UPS,Paris,Low,Not Returned,Bank Transfer
175766,FedEx,Paris,Low,Returned,paypall
508923,Royal Mail,Berlin,Low,Not Returned,paypall
515192,FedEx,Berlin,Medium,Returned,Credit Card
668550,DHL,Berlin,Low,Not Returned,Credit Card
487261,Royal Mail,London,Medium,Not Returned,Bank Transfer
910208,DHL,London,High,Not Returned,Credit Card
785440,FedEx,Rome,High,Not Returned,Bank Transfer
752664,FedEx,Berlin,Low,Not Returned,Credit Card
554589,DHL,Rome,Low,Not Returned,Bank Transfer
237848,UPS,Paris,Medium,Not Returned,paypall
717075,FedEx,London,Medium,Not Returned,paypall
227948,UPS,Amsterdam,Low,Not Returned,Credit Card
679304,DHL,Rome,Low,Not Returned,Credit Card
502690,Royal Mail,Paris,Medium,Not Returned,Bank Transfer
599046,FedEx,Rome,Low,Not Returned,Credit Card
551269,DHL,Amsterdam,Medium,Not Returned,Credit Card
121959,UPS,Paris,Medium,Not Returned,Credit Card
760890,DHL,Berlin,Medium,Not Returned,Credit Card
850216,DHL,Amsterdam,High,Not Returned,Bank Transfer
890180,FedEx,Amsterdam,High,Returned,paypall
328576,FedEx,Paris,Medium,Not Returned,Credit Card
637833,DHL,Paris,Low,Not Returned,Credit Card
265838,FedEx,London,Medium,Not Returned,Bank Transfer
435674,UPS,Berlin,High,Not Returned,Credit Card
979989,UPS,Rome,Low,Not Returned,Credit Card
161087,FedEx,London,High,Not Returned,Bank Transfer
693128,FedEx,Amsterdam,Low,Not Returned,paypall
218451,Royal Mail,Amsterdam,Low,Not Returned,Credit Card
547600,UPS,Paris,Low,Not Returned,Credit Card
937437,FedEx,Amsterdam,Low,Not Returned,Bank Transfer
539792,UPS,Berlin,High,Not Returned,Bank Transfer
139353,DHL,Amsterdam,High,Not Returned,paypall
293075,DHL,Amsterdam,Low,Not Returned,Credit Card
314283,UPS,Paris,Medium,Not Returned,Credit Card
414877,FedEx,Rome,High,Not Returned,Credit Card
165318,UPS,Paris,High,Not Returned,paypall
865313,DHL,Rome,Low,Not Returned,Credit Card
582690,FedEx,Rome,High,Returned,paypall
516880,FedEx,London,High,Not Returned,Credit Card
691460,DHL,Berlin,Medium,Returned,Credit Card
840976,UPS,Rome,Medium,Not Returned,paypall
881239,DHL,Rome,High,Not Returned,Credit Card
193264,DHL,Amsterdam,High,Not Returned,Bank Transfer
870746,UPS,Berlin,Low,Not Returned,Bank Transfer
913168,UPS,Rome,High,Not Returned,paypall
325281,UPS,Amsterdam,Low,Not Returned,Credit Card
737147,UPS,Berlin,Low,Not Returned,Bank Transfer
998613,DHL,Paris,Medium,Not Returned,Bank Transfer
494070,UPS,Rome,Low,Not Returned,Bank Transfer
452228,UPS,Amsterdam,Medium,Not Returned,Credit Card
531839,UPS,London,Medium,Not Returned,Bank Transfer
369536,UPS,London,Medium,Not Returned,paypall
417824,FedEx,Paris,Low,Not Returned,paypall
357426,UPS,London,Low,Returned,paypall
277789,Royal Mail,London,High,Not Returned,paypall
613153,Royal Mail,Berlin,Medium,Not Returned,paypall
842452,UPS,Amsterdam,Medium,Not Returned,Credit Card
937291,DHL,Amsterdam,Medium,Not Returned,Credit Card
225657,Royal Mail,Paris,Medium,Not Returned,Credit Card
335167,UPS,Rome,High,Not Returned,Credit Card
781669,DHL,Amsterdam,Low,Not Returned,Bank Transfer
580671,UPS,London,Low,Not Returned,paypall
819094,FedEx,Amsterdam,Medium,Not Returned,paypall
170467,Royal Mail,Paris,Low,Not Returned,Credit Card
283734,Royal Mail,Berlin,Medium,Not Returned,paypall
722794,DHL,London,Medium,Not Returned,Bank Transfer
209751,DHL,Rome,Medium,Not Returned,Bank Transfer
481050,FedEx,London,High,Not Returned,Credit Card
911774,DHL,Amsterdam,Medium,Returned,Bank Transfer
792517,FedEx,Paris,High,Not Returned,Bank Transfer
561079,DHL,London,Low,Not Returned,paypall
468452,Royal Mail,Rome,Low,Not Returned,Credit Card
206081,DHL,Amsterdam,High,Not Returned,Credit Card
713333,Royal Mail,Rome,Low,Not Returned,Bank Transfer
658986,FedEx,Paris,High,Returned,paypall
210078,UPS,Rome,Low,Not Returned,paypall
967055,Royal Mail,Berlin,Low,Not Returned,Credit Card
122671,UPS,London,Low,Returned,Bank Transfer
518400,Royal Mail,Amsterdam,High,Not Returned,paypall
455528,FedEx,Berlin,Medium,Not Returned,paypall
710490,DHL,Amsterdam,High,Not Returned,paypall
151663,DHL,Paris,Medium,Not Returned,paypall
115708,UPS,London,High,Not Returned,Bank Transfer
978338,FedEx,London,Medium,Not Returned,Credit Card
411955,Royal Mail,London,Low,Not Returned,paypall
233883,DHL,Berlin,Low,Not Returned,Bank Transfer
418394,Royal Mail,Rome,High,Returned,paypall
212547,FedEx,Amsterdam,High,Not Returned,Credit Card
659042,FedEx,Rome,High,Returned,paypall
851102,FedEx,Amsterdam,Low,Not Returned,paypall
862002,Royal Mail,Berlin,High,Not Returned,Bank Transfer
242483,FedEx,London,High,Not Returned,paypall
758271,Royal Mail,Paris,High,Not Returned,Bank Transfer
314835,UPS,Berlin,Low,Not Returned,Credit Card
501896,Royal Mail,Amsterdam,Medium,Not Returned,Bank Transfer
184896,UPS,Amsterdam,Medium,Not Returned,paypall
577095,FedEx,London,High,Not Returned,Credit Card
171295,FedEx,Amsterdam,Medium,Not Returned,Credit Card
843974,FedEx,Paris,Medium,Not Returned,paypall
987121,DHL,Paris,Medium,Not Returned,paypall
373255,DHL,Paris,High,Not Returned,Bank Transfer
399648,Royal Mail,Rome,High,Not Returned,paypall
757162,FedEx,Berlin,Medium,Not Returned,Bank Transfer
108155,FedEx,Berlin,Medium,Not Returned,paypall
566872,FedEx,Paris,Medium,Not Returned,Bank Transfer
925816,UPS,London,Medium,Not Returned,paypall
474705,UPS,Berlin,High,Not Returned,Bank Transfer
671542,DHL,Paris,Medium,Not Returned,Bank Transfer
908350,Royal Mail,Rome,High,Not Returned,Credit Card
710269,UPS,Amsterdam,Low,Not Returned,Bank Transfer
654594,Royal Mail,Paris,Medium,Not Returned,paypall
247718,FedEx,Rome,Low,Not Returned,paypall
408987,UPS,Rome,Low,Not Returned,Credit Card
745263,DHL,Amsterdam,Medium,Not Returned,paypall
458745,DHL,London,High,Not Returned,Credit Card
207512,Royal Mail,Amsterdam,High,Not Returned,Credit Card
247443,Royal Mail,Rome,Medium,Not Returned,paypall
570587,Royal Mail,Amsterdam,High,Not Returned,Bank Transfer
473616,FedEx,Amsterdam,Low,Not Returned,Bank Transfer
757409,Royal Mail,Paris,Medium,Not Returned,paypall
786976,DHL,London,High,Not Returned,paypall
465871,FedEx,Rome,Low,Not Returned,Credit Card
475037,FedEx,Rome,Medium,Not Returned,paypall
907364,DHL,London,Medium,Not Returned,Credit Card
217796,UPS,Rome,High,Not Returned,paypall
391999,Royal Mail,Amsterdam,Medium,Not Returned,paypall
292506,Royal Mail,Berlin,Low,Not Returned,paypall
798376,UPS,Amsterdam,Low,Not Returned,paypall
369544,UPS,London,High,Returned,Bank Transfer
480002,FedEx,Berlin,High,Not Returned,paypall
798002,Royal Mail,Berlin,Low,Not Returned,Bank Transfer
639439,UPS,Rome,High,Not Returned,Credit Card
690978,DHL,Amsterdam,Medium,Not Returned,Bank Transfer
628787,DHL,Paris,Low,Not Returned,paypall
630583,Royal Mail,Berlin,High,Not Returned,Bank Transfer
488215,UPS,Amsterdam,Low,Not Returned,paypall
421184,Royal Mail,Amsterdam,High,Not Returned,Bank Transfer
898615,DHL,Rome,Low,Not Returned,Bank Transfer
522515,DHL,Amsterdam,Low,Not Returned,Bank Transfer
768234,Royal Mail,Berlin,High,Not Returned,Bank Transfer
478480,DHL,Rome,Medium,Not Returned,paypall
132711,DHL,Amsterdam,Low,Not Returned,Credit Card
891971,DHL,Rome,Medium,Not Returned,paypall
601157,Royal Mail,Rome,Medium,Not Returned,Credit Card
284423,Royal Mail,London,Medium,Not Returned,Bank Transfer
616349,FedEx,Paris,High,Not Returned,Credit Card
803714,DHL,Amsterdam,Low,Not Returned,paypall
757917,UPS,Rome,Low,Not Returned,Credit Card
924792,DHL,Amsterdam,Low,Not Returned,paypall
837378,UPS,Paris,High,Not Returned,paypall
233272,UPS,Rome,High,Not Returned,paypall
867836,DHL,Paris,High,Not Returned,Bank Transfer
802335,Royal Mail,Rome,Medium,Returned,Bank Transfer
907789,FedEx,Berlin,High,Returned,paypall
743409,Royal Mail,Rome,Low,Not Returned,Bank Transfer
177505,FedEx,Paris,High,Not Returned,Bank Transfer
102869,UPS,Amsterdam,Medium,Not Returned,Bank Transfer
881474,DHL,Berlin,Medium,Not Returned,paypall
554351,Royal Mail,London,Low,Not Returned,Bank Transfer
412252,FedEx,Rome,Medium,Not Returned,Credit Card
736584,FedEx,Berlin,High,Not Returned,Bank Transfer
718467,DHL,Berlin,Medium,Not Returned,paypall
190272,DHL,Paris,High,Not Returned,Bank Transfer
138467,UPS,Rome,Medium,Not Returned,Bank Transfer
909760,DHL,Berlin,Low,Not Returned,Credit Card
977844,DHL,Amsterdam,Medium,Not Returned,paypall
580047,UPS,Rome,Medium,Not Returned,paypall
759347,FedEx,Rome,Low,Not Returned,Bank Transfer
158871,FedEx,Amsterdam,High,Not Returned,paypall
228391,FedEx,London,Low,Not Returned,Credit Card
539430,UPS,Rome,Low,Not Returned,Credit Card
710704,Royal Mail,Berlin,Medium,Not Returned,Credit Card
956703,Royal Mail,Amsterdam,Medium,Returned,paypall
930496,DHL,Amsterdam,High,Not Returned,Credit Card
356687,FedEx,London,Low,Not Returned,paypall
825451,Royal Mail,London,High,Not Returned,Bank Transfer
207450,FedEx,London,High,Not Returned,Bank Transfer
271890,DHL,Paris,Medium,Not Returned,paypall
538741,Royal Mail,Berlin,High,Not Returned,Credit Card
381974,UPS,Paris,High,Not Returned,Credit Card
500109,DHL,Amsterdam,High,Returned,paypall
216381,FedEx,Paris,High,Not Returned,Credit Card
573125,UPS,London,High,Not Returned,Bank Transfer
671621,UPS,Berlin,Medium,Not Returned,paypall
234508,FedEx,Berlin,Low,Returned,paypall
829650,FedEx,Rome,Low,Not Returned,Credit Card
962645,DHL,Paris,Low,Not Returned,Credit Card
499111,FedEx,Amsterdam,Medium,Not Returned,Bank Transfer
250810,Royal Mail,Amsterdam,Medium,Returned,Bank Transfer
392890,UPS,Rome,Medium,Not Returned,Credit Card
673665,FedEx,London,High,Not Returned,Bank Transfer
940477,DHL,London,Medium,Not Returned,Bank Transfer
460032,UPS,Berlin,High,Not Returned,Credit Card
469599,FedEx,Amsterdam,High,Not Returned,paypall
760960,FedEx,Amsterdam,Low,Returned,paypall
850020,DHL,Amsterdam,High,Not Returned,paypall
979611,UPS,Paris,Medium,Not Returned,Credit Card
271836,DHL,Berlin,High,Not Returned,Bank Transfer
829903,FedEx,Amsterdam,Medium,Not Returned,Bank Transfer
145714,DHL,London,Medium,Not Returned,paypall
727234,Royal Mail,Berlin,High,Not Returned,Bank Transfer
996048,Royal Mail,Amsterdam,Medium,Not Returned,Bank Transfer
730271,UPS,Berlin,Low,Not Returned,Bank Transfer
566960,UPS,Paris,High,Not Returned,paypall
811851,DHL,Rome,Medium,Not Returned,Credit Card
224123,DHL,Berlin,High,Not Returned,Credit Card
405628,UPS,Paris,High,Not Returned,Bank Transfer
182989,UPS,Berlin,Medium,Not Returned,paypall
398356,FedEx,Rome,Low,Not Returned,Credit Card
929957,Royal Mail,London,Medium,Not Returned,paypall
278274,UPS,Berlin,Low,Not Returned,Credit Card
787995,UPS,Amsterdam,High,Not Returned,Bank Transfer
425352,Royal Mail,London,Low,Not Returned,Credit Card
920260,DHL,London,Low,Not Returned,Credit Card
511927,DHL,Rome,Medium,Not Returned,paypall
889852,Royal Mail,Rome,Medium,Not Returned,Credit Card
983184,Royal Mail,Amsterdam,Medium,Not Returned,Bank Transfer
231373,FedEx,London,High,Not Returned,Credit Card
538452,FedEx,Paris,Medium,Not Returned,Bank Transfer
215294,DHL,Rome,Medium,Not Returned,Bank Transfer
559451,UPS,Paris,High,Not Returned,Bank Transfer
748307,DHL,Rome,Low,Returned,paypall
165726,DHL,Berlin,High,Not Returned,Bank Transfer
241564,DHL,Amsterdam,High,Returned,Credit Card
477812,Royal Mail,Amsterdam,Low,Returned,Bank Transfer
368246,DHL,Rome,Low,Returned,Credit Card
805696,UPS,Rome,Low,Returned,paypall
218015,DHL,Paris,Low,Not Returned,Credit Card
840674,Royal Mail,Berlin,High,Not Returned,paypall
354079,DHL,Amsterdam,Medium,Not Returned,paypall
650929,FedEx,Amsterdam,Low,Not Returned,Bank Transfer
789944,FedEx,London,High,Returned,Bank Transfer
788105,Royal Mail,Amsterdam,Medium,Not Returned,Credit Card
613758,DHL,London,Medium,Not Returned,Credit Card
465890,Royal Mail,Paris,High,Not Returned,Bank Transfer
545101,Royal Mail,Paris,Medium,Not Returned,Credit Card
136631,FedEx,Paris,High,Not Returned,paypall
866577,DHL,London,Medium,Not Returned,paypall
172991,Royal Mail,Rome,Medium,Returned,Credit Card
104014,FedEx,Paris,High,Not Returned,Credit Card
373237,Royal Mail,Paris,Low,Not Returned,Bank Transfer
118070,DHL,London,Low,Not Returned,Credit Card
922209,Royal Mail,Amsterdam,Medium,Returned,paypall
156958,UPS,Rome,High,Not Returned,paypall
182074,FedEx,Rome,Medium,Returned,paypall
635017,Royal Mail,Berlin,High,Not Returned,paypall
855073,UPS,Rome,Low,Not Returned,Bank Transfer
276089,UPS,London,High,Not Returned,Credit Card
297392,UPS,Rome,Low,Returned,Bank Transfer
258823,DHL,Amsterdam,High,Returned,Credit Card
730152,Royal Mail,Berlin,High,Not Returned,paypall
493002,Royal Mail,Paris,Medium,Not Returned,paypall
833429,FedEx,Rome,High,Not Returned,Credit Card
598863,DHL,Amsterdam,High,Returned,Credit Card
467654,Royal Mail,London,Low,Not Returned,paypall
679036,UPS,London,Low,Not Returned,Credit Card
630089,DHL,Berlin,High,Not Returned,paypall
250262,Royal Mail,Paris,High,Not Returned,paypall
542905,DHL,Rome,Medium,Returned,paypall
335362,FedEx,Paris,High,Not Returned,Credit Card
544209,UPS,Amsterdam,High,Returned,Bank Transfer
653880,FedEx,Berlin,High,Not Returned,Credit Card
897079,FedEx,Berlin,High,Not Returned,Credit Card
764076,FedEx,Berlin,Low,Not Returned,paypall
319963,Royal Mail,Amsterdam,Medium,Returned,paypall
580761,FedEx,Rome,Low,Not Returned,Credit Card
348710,Royal Mail,Paris,Medium,Not Returned,paypall
320984,DHL,Amsterdam,Medium,Not Returned,paypall
997059,Royal Mail,Paris,Low,Not Returned,Bank Transfer
956748,DHL,London,High,Not Returned,Credit Card
882355,FedEx,Paris,High,Not Returned,Credit Card
364512,DHL,Amsterdam,Low,Not Returned,Bank Transfer
701863,DHL,Paris,Medium,Not Returned,paypall
368799,DHL,Rome,Low,Returned,Credit Card
337549,FedEx,Rome,High,Not Returned,paypall
694319,Royal Mail,Amsterdam,High,Not Returned,Credit Card
584299,Royal Mail,Berlin,Medium,Not Returned,Credit Card
712210,UPS,Amsterdam,Low,Returned,paypall
548982,Royal Mail,Paris,High,Not Returned,Credit Card
224046,DHL,Amsterdam,Medium,Not Returned,paypall
506619,Royal Mail,Rome,High,Not Returned,Bank Transfer
132097,FedEx,Amsterdam,Medium,Returned,Credit Card
766326,DHL,London,High,Not Returned,Credit Card
749150,UPS,Amsterdam,Low,Not Returned,paypall
330229,UPS,London,Low,Not Returned,Credit Card
218834,Royal Mail,Amsterdam,Medium,Not Returned,Credit Card
193848,DHL,London,Medium,Not Returned,paypall
152921,FedEx,Berlin,High,Not Returned,paypall
805086,Royal Mail,Paris,Medium,Not Returned,Bank Transfer
750429,FedEx,Rome,High,Not Returned,Credit Card
805660,UPS,Berlin,Medium,Not Returned,Credit Card
384821,FedEx,Paris,High,Not Returned,Credit Card
155609,DHL,London,Medium,Not Returned,paypall
327897,DHL,London,Medium,Not Returned,Credit Card
131024,FedEx,Paris,Medium,Not Returned,paypall
170313,Royal Mail,Berlin,High,Not Returned,Bank Transfer
489957,DHL,Amsterdam,Medium,Returned,Bank Transfer
284078,FedEx,Rome,High,Not Returned,paypall
457429,FedEx,London,Low,Not Returned,paypall
561243,FedEx,Berlin,Low,Not Returned,Credit Card
213632,DHL,Amsterdam,Medium,Not Returned,paypall
351451,UPS,Berlin,Medium,Not Returned,paypall
103051,UPS,Amsterdam,High,Not Returned,Credit Card
